trial,state,auc,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,network,method,rep,run_dir,best_so_far
47,TrialState.COMPLETE,0.0213893948937199,auc,optseed1,4202,0.8804107928799106,0.912709329189367,1e-05,0.0213893948937199,0.0975699999999999,0.0004166666666666,1330,100,13.3,9,26,12.3,8,25,False,6.098014838062227,6.0311334119178355,0.0119997289730235,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
48,TrialState.COMPLETE,0.0209731949522897,auc,optseed1,4202,0.9347512414803916,0.9890704276477202,5e-05,0.0209731949522897,0.0951699999999999,0.0003533333333333,1299,100,12.99,9,23,11.99,8,22,False,5.696490275091492,5.626460923929699,0.019250693032518,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
49,TrialState.COMPLETE,0.0210964415006647,auc,optseed1,4202,0.8090458402845913,0.8424932012476847,3e-05,0.0210964415006647,0.09739,0.00032,1317,100,13.17,9,22,12.17,8,21,False,5.446159444050863,5.375971012050286,0.0120232390472665,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
50,TrialState.COMPLETE,0.0212427569995793,auc,optseed1,4202,0.8382841321983177,0.9692342279449936,8e-05,0.0212427569995793,0.0957299999999999,0.0004666666666666,1310,100,13.1,9,22,12.1,8,21,False,6.13521967898123,6.079339071060531,0.0119030380155891,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
51,TrialState.COMPLETE,0.0207848896472894,auc,optseed1,4202,0.958434937027071,0.9692095753244933,9e-05,0.0207848896472894,0.0958,0.0005066666666666,1364,100,13.64,9,22,12.64,8,21,False,5.9670415699947625,5.903488134033978,0.0119942589662969,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
52,TrialState.COMPLETE,0.0210749678056628,auc,optseed1,4202,0.8851477120449635,0.953109608370851,7.000000000000001e-05,0.0210749678056628,0.09565,0.0003366666666666,1352,100,13.52,9,23,12.52,8,22,False,5.954958810005337,5.888678202056326,0.0119646979728713,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
53,TrialState.COMPLETE,0.0210490474949457,auc,optseed1,4202,0.9949387992642637,0.95692624704524,4e-05,0.0210490474949457,0.09554,0.0004366666666666,1332,100,13.32,9,21,12.32,8,20,False,6.051140235038474,5.982662451919168,0.0117688960162922,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
54,TrialState.COMPLETE,0.0216646623381348,auc,optseed1,4202,0.8037521052296441,0.913035282058035,2e-05,0.0216646623381348,0.0975699999999999,0.0004333333333333,1311,100,13.11,9,21,12.11,8,20,False,6.235564372036606,6.172026994987391,0.0122065020259469,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
55,TrialState.COMPLETE,0.0211910347537309,auc,optseed1,4202,0.9392002179950104,0.9820830934750032,6e-05,0.0211910347537309,0.0955299999999999,0.00042,1268,100,12.68,9,19,11.68,8,18,False,5.601405963068828,5.530280619976111,0.0119984690099954,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
56,TrialState.COMPLETE,0.0208300943168029,auc,optseed1,4202,0.9199830245086296,0.9795538130141476,6e-05,0.0208300943168029,0.09559,0.0003933333333333,1317,100,13.17,9,21,12.17,8,20,False,5.474496433045715,5.414286604966037,0.0118524880381301,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
57,TrialState.COMPLETE,0.0210591421509029,auc,optseed1,4202,0.9340351055808956,0.9326028198003558,4e-05,0.0210591421509029,0.0964399999999999,0.00035,1342,100,13.42,9,23,12.42,8,22,False,6.085575363016687,6.023375352961011,0.0124693450052291,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
58,TrialState.COMPLETE,0.0210765927602669,auc,optseed1,4202,0.93702367179626,0.9819742306275324,6e-05,0.0210765927602669,0.0955099999999999,0.0003933333333333,1275,100,12.75,9,19,11.75,8,18,False,5.722355555044487,5.649920916068368,0.0171267789555713,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
59,TrialState.COMPLETE,0.0221286438333768,auc,optseed1,4202,0.733604120136776,0.8192581351122933,5e-05,0.0221286438333768,0.09671,0.0007033333333333,1277,100,12.77,9,24,11.77,8,23,False,5.709666058071889,5.6345172269502655,0.0182967419968917,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
60,TrialState.COMPLETE,0.0211690583444071,auc,optseed1,4202,0.9229632255725726,0.9199884229926014,4e-05,0.0211690583444071,0.0974599999999999,0.0003633333333333,1358,100,13.58,9,23,12.58,8,22,False,5.798877321998589,5.736815272946842,0.0125311249867081,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
61,TrialState.COMPLETE,0.0211295420821009,auc,optseed1,4202,0.9155930439559004,0.9822593477796564,6e-05,0.0211295420821009,0.0955299999999999,0.0004166666666666,1273,100,12.73,9,21,11.73,8,20,False,5.595162141951732,5.525223101023585,0.0119796979706734,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
62,TrialState.COMPLETE,0.0211897320246085,auc,optseed1,4202,0.8680441879920467,0.871139573781798,8e-05,0.0211897320246085,0.0970699999999999,0.00031,1336,100,13.36,9,23,12.36,8,22,False,5.631366100977175,5.5713989259675145,0.0119449979392811,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
63,TrialState.COMPLETE,0.0212405123846741,auc,optseed1,4202,0.9140332780960774,0.9830270895148364,5e-05,0.0212405123846741,0.09558,0.0004166666666666,1276,100,12.76,9,21,11.76,8,20,False,5.481786767952144,5.410991646931507,0.0117958559421822,BA1000,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_ba1000/optimize_runs_auc_20260618/cmaes_optseed1,0.0207344984415496
