network,method,rep,trial,best_so_far
BA1000,GA,optseed2,47,0.0206363417421931
BA1000,GA,optseed2,48,0.0206363417421931
BA1000,GA,optseed2,49,0.0206363417421931
BA1000,GA,optseed2,50,0.0206363417421931
BA1000,GA,optseed2,51,0.0206363417421931
BA1000,GA,optseed2,52,0.0206363417421931
BA1000,GA,optseed2,53,0.0206363417421931
BA1000,GA,optseed2,54,0.0206363417421931
BA1000,GA,optseed2,55,0.0206363417421931
BA1000,GA,optseed2,56,0.0206363417421931
BA1000,GA,optseed2,57,0.0206363417421931
BA1000,GA,optseed2,58,0.0206363417421931
BA1000,GA,optseed2,59,0.0206363417421931
BA1000,GA,optseed2,60,0.0206363417421931
BA1000,GA,optseed2,61,0.0206363417421931
BA1000,GA,optseed2,62,0.0206363417421931
BA1000,GA,optseed2,63,0.0206363417421931
BA1000,GA,optseed2,64,0.0206363417421931
BA1000,GA,optseed2,65,0.0206363417421931
BA1000,GA,optseed2,66,0.0206363417421931
BA1000,GA,optseed2,67,0.0206363417421931
BA1000,GA,optseed2,68,0.0206363417421931
BA1000,GA,optseed2,69,0.0206363417421931
BA1000,GA,optseed2,70,0.0206363417421931
BA1000,GA,optseed2,71,0.0206363417421931
BA1000,GA,optseed2,72,0.0206363417421931
BA1000,GA,optseed2,73,0.0206363417421931
BA1000,GA,optseed2,74,0.0206363417421931
BA1000,GA,optseed2,75,0.0206363417421931
BA1000,GA,optseed2,76,0.0206363417421931
BA1000,GA,optseed2,77,0.0206363417421931
BA1000,GA,optseed2,78,0.0206363417421931
BA1000,GA,optseed2,79,0.0206363417421931
BA1000,GA,optseed2,80,0.0206363417421931
BA1000,GA,optseed2,81,0.0206363417421931
BA1000,GA,optseed2,82,0.0206363417421931
BA1000,GA,optseed2,83,0.0206363417421931
BA1000,GA,optseed2,84,0.0206363417421931
BA1000,GA,optseed2,85,0.0206363417421931
BA1000,GA,optseed2,86,0.0206363417421931
BA1000,GA,optseed2,87,0.0206352814528634
BA1000,GA,optseed2,88,0.0206352814528634
BA1000,GA,optseed2,89,0.0206352814528634
BA1000,GA,optseed2,90,0.0206352814528634
BA1000,GA,optseed2,91,0.0206352814528634
BA1000,GA,optseed2,92,0.0206352814528634
BA1000,GA,optseed2,93,0.0206352814528634
BA1000,GA,optseed2,94,0.0206352814528634
BA1000,GA,optseed2,95,0.0206352814528634
BA1000,GA,optseed2,96,0.0206352814528634
BA1000,GA,optseed2,97,0.0206352814528634
BA1000,GA,optseed2,98,0.0206352814528634
BA1000,GA,optseed2,99,0.0206352814528634
BA1000,GA,optseed3,0,0.0228084755517156
BA1000,GA,optseed3,1,0.0209915860713914
BA1000,GA,optseed3,2,0.0209915860713914
BA1000,GA,optseed3,3,0.0209915860713914
BA1000,GA,optseed3,4,0.0209778531662695
BA1000,GA,optseed3,5,0.0209778531662695
BA1000,GA,optseed3,6,0.0209778531662695
BA1000,GA,optseed3,7,0.0209778531662695
BA1000,GA,optseed3,8,0.0209778531662695
BA1000,GA,optseed3,9,0.0209778531662695
BA1000,GA,optseed3,10,0.0209778531662695
BA1000,GA,optseed3,11,0.0209778531662695
BA1000,GA,optseed3,12,0.0209778531662695
BA1000,GA,optseed3,13,0.0209778531662695
BA1000,GA,optseed3,14,0.0209733164801314
BA1000,GA,optseed3,15,0.0209733164801314
