trial,state,auc,score_metric,replicate_label,sampler_seed,certainty,effectiveness,final_selfish_ratio,normalized_selfish_auc,peak_selfish_ratio,final_window_selfish_mean,n_rows,n_iter,mean_n_steps,min_n_steps,max_n_steps,mean_t_max,min_t_max,max_t_max,score_failed,trial_elapsed_sec,simulation_elapsed_sec,score_elapsed_sec,network,method,rep,run_dir,best_so_far,certainty_bin,effectiveness_bin,certainty_mid,effectiveness_mid
69,TrialState.COMPLETE,0.0062313707547517,auc,optseed1,4201,0.903842509389073,0.9496124278767686,1.4054813773717496e-05,0.0062313707547517,0.030344342937456,0.0001002576715858,1447,100,14.47,10,24,13.47,9,23,False,21.31337748898659,20.908253873931244,0.0120762899750843,Wiki-vote,GPR,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/gpr_optseed1,0.0062095643480356,"(0.9, 0.95]","(0.9, 0.95]",0.925,0.925
58,TrialState.COMPLETE,0.0062334609186646,auc,optseed2,5202,0.8112349701354162,0.9344221608276242,2.2487702037948e-05,0.0062334609186646,0.0303921293042867,8.854532677442024e-05,1526,100,15.26,10,27,14.26,9,26,False,23.308641236973926,23.238295761984773,0.0186750459251925,Wiki-vote,CMAES,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2,0.0061942959880151,"(0.8, 0.85]","(0.9, 0.95]",0.825,0.925
59,TrialState.COMPLETE,0.0062336274949115,auc,optseed3,6204,0.7409204306242787,0.9504698599740268,2.108222066057625e-05,0.0062336274949115,0.030344342937456,0.0001105645350199,1459,100,14.59,10,28,13.59,9,27,False,20.72158973105252,20.648108539986424,0.0189448500750586,Wiki-vote,GA,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/ga_optseed3,0.0062167474365688,"(0.7, 0.75]","(0.95, 1.0]",0.725,0.975
50,TrialState.COMPLETE,0.0062341925649203,auc,optseed2,5202,0.7636487992693621,0.9491730280281948,1.4054813773717496e-05,0.0062341925649203,0.0303583977512297,0.0001007261653783,1455,100,14.55,10,25,13.55,9,24,False,21.147761709988117,21.078476246912032,0.0171089880168437,Wiki-vote,CMAES,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2,0.0061942959880151,"(0.75, 0.8]","(0.9, 0.95]",0.775,0.925
20,TrialState.COMPLETE,0.0062351154208034,auc,optseed2,5202,0.775404642381844,0.9961926988778742,1.40548137737175e-05,0.0062351154208034,0.0302206605762473,0.0001068165846802,1492,100,14.92,10,25,13.92,9,24,False,21.822299464954995,21.758894289960153,0.0116807960439473,Wiki-vote,CMAES,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2,0.0061942959880151,"(0.75, 0.8]","(0.95, 1.0]",0.775,0.975
97,TrialState.COMPLETE,0.0062357091676714,auc,optseed1,4202,0.816076258576498,0.9531260473080192,1.9676739283204494e-05,0.0062357091676714,0.0302656359803232,0.0001040056219255,1473,100,14.73,9,25,13.73,8,24,False,21.286403084988702,21.21826009603683,0.0116404250729829,Wiki-vote,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed1,0.0062030457933705,"(0.8, 0.85]","(0.95, 1.0]",0.825,0.975
72,TrialState.COMPLETE,0.0062358706271744,auc,optseed1,4202,0.8428288603097951,0.9557888396212586,1.9676739283204494e-05,0.0062358706271744,0.0303092059030217,8.104942609510426e-05,1492,100,14.92,10,25,13.92,9,24,False,21.156308529083617,21.088440401945263,0.0173836910398677,Wiki-vote,CMAES,optseed1,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed1,0.0062358706271744,"(0.8, 0.85]","(0.95, 1.0]",0.825,0.975
79,TrialState.COMPLETE,0.0062366381943296,auc,optseed3,6202,0.966647275495629,0.9446945564420808,1.546029515108925e-05,0.0062366381943296,0.0303148278285312,0.0001011946591707,1518,100,15.18,10,28,14.18,9,27,False,23.286833695019595,23.204417560016736,0.0216385000385344,Wiki-vote,CMAES,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed3,0.0062131986428378,"(0.95, 1.0]","(0.9, 0.95]",0.975,0.925
75,TrialState.COMPLETE,0.0062371909444585,auc,optseed2,5202,0.7987756439974316,0.970574131942504,2.8109627547435e-05,0.0062371909444585,0.0302304989458889,0.0001096275474349,1507,100,15.07,10,26,14.07,9,25,False,20.743028289987706,20.67286176700145,0.019335184013471,Wiki-vote,CMAES,optseed2,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed2,0.0061942959880151,"(0.75, 0.8]","(0.95, 1.0]",0.775,0.975
51,TrialState.COMPLETE,0.0062381285579966,auc,optseed3,6202,0.9366144126554216,0.9461646038856316,2.3893183415319743e-05,0.0062381285579966,0.0302923401264933,9.650972124619349e-05,1484,100,14.84,10,28,13.84,9,27,False,21.45463307504542,21.384182387962937,0.0191565620480105,Wiki-vote,CMAES,optseed3,/Users/sota/projects/cap-sn/experiments/optimization_wiki_vote/optimize_runs_auc_20260618/cmaes_optseed3,0.0062131986428378,"(0.9, 0.95]","(0.9, 0.95]",0.925,0.925
