seed_state,contrast,metric,current,balance,diff,abs_diff
7,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,2.2325575637534043,2.23338945283486,-0.0008318890814558166,0.0008318890814558166
7,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,3.9840727902946274,3.9306734340183214,0.05339935627630599,0.05339935627630599
7,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,0.40477841049764796,0.4728568587420194,-0.06807844824437143,0.06807844824437143
7,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,2.085179499876207,2.1121193364694233,-0.026939836593216082,0.026939836593216082
7,certainty_high_minus_balance,peak_mean_selfish_ratio,0.06935875216637781,0.06927457291408765,8.417925229016465e-05,8.417925229016465e-05
7,certainty_high_minus_balance,mean_total_shared_ratio_misinformation,0.35265164644714037,0.35485021044813075,-0.0021985640009903884,0.0021985640009903884
7,certainty_high_minus_balance,mean_total_shared_ratio_corrective,0.34999257241891557,0.35908640752661547,-0.009093835107699899,0.009093835107699899
7,certainty_high_minus_balance,mean_total_shared_ratio_observational,0.160440336350215,0.1621323245893522,-0.0016919882391371877,0.0016919882391371877
7,certainty_high_minus_balance,mean_total_shared_ratio_behavior_guiding,0.24156721960881408,0.22865560782371874,0.01291161178509534,0.01291161178509534
7,certainty_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,2.2268779400841794,2.23338945283486,-0.006511512750680737,0.006511512750680737
7,certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,3.855043327556326,3.9306734340183214,-0.07563010646199553,0.07563010646199553
7,certainty_high_minus_balance,mean_total_fst_viewed_ratio_observational,0.455223606870054,0.4728568587420194,-0.017633251871965405,0.017633251871965405
7,certainty_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,2.175526120326814,2.1121193364694233,0.06340678385739063,0.06340678385739063
8,effective_high_minus_balance,peak_mean_selfish_ratio,0.06823471156226789,0.06846991829660808,-0.00023520673434018757,0.00023520673434018757
8,effective_high_minus_balance,mean_total_shared_ratio_misinformation,0.35620945778658086,0.35551869274572917,0.000690765040851693,0.000690765040851693
8,effective_high_minus_balance,mean_total_shared_ratio_corrective,0.3689230007427581,0.3680886358009408,0.0008343649418172672,0.0008343649418172672
8,effective_high_minus_balance,mean_total_shared_ratio_observational,0.11521396542441355,0.10852955612601695,0.006684409298396601,0.006684409298396601
8,effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,0.22317157712305025,0.227256746719485,-0.004085169596434762,0.004085169596434762
8,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,2.186736816043575,2.1833077494429314,0.003429066600643793,0.003429066600643793
8,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,3.8837509284476353,3.842688784352563,0.04106214409507247,0.04106214409507247
8,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,0.3411971374338297,0.31968569604253266,0.021511441391297015,0.021511441391297015
8,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,2.076355533547908,2.0944293141866797,-0.01807378063877163,0.01807378063877163
8,certainty_high_minus_balance,peak_mean_selfish_ratio,0.06879673186432285,0.06846991829660808,0.0003268135677147732,0.0003268135677147732
8,certainty_high_minus_balance,mean_total_shared_ratio_misinformation,0.355934637286457,0.35551869274572917,0.0004159445407278528,0.0004159445407278528
