network,variant,contrast,metric,seed_count,mean_diff,std_diff,min_diff,max_diff,mean_abs_diff,positive_seed_count,negative_seed_count,zero_seed_count
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,5,0.26697697449863833,0.014113129751173554,0.24904431790047044,0.2839168110918544,0.26697697449863833,5,0,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,5,-1.9006872988363455,1.695194054781308,-3.8593018073780634,0.33936122802673907,2.036431790047041,1,4,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,5,-0.00626491705867771,0.00784549571086611,-0.01592968556573382,0.0022208467442430546,0.007700916068333541,2,3,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_balance,mean_total_fst_viewed_ratio_observational,5,0.01268213448127684,0.07020058671154619,-0.05473035420181194,0.12768025951518147,0.047791111221604884,2,3,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_balance,mean_total_shared_ratio_behavior_guiding,5,0.02294627383015598,0.0009066230812145491,0.021950977964842786,0.024315424610051997,0.02294627383015598,5,0,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_balance,mean_total_shared_ratio_corrective,5,-0.2860975488982421,0.2567070995608676,-0.5612255508789301,0.0643055211686061,0.31181975736568457,1,4,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_balance,mean_total_shared_ratio_misinformation,5,-0.0015939589007179845,0.0012270085189210252,-0.003285466699678108,-0.00010398613518192157,0.0015939589007179845,0,5,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_balance,mean_total_shared_ratio_observational,5,0.0021192677454504594,0.018916062153918892,-0.017830664740494218,0.03174552375700557,0.013600366702520229,2,3,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_balance,peak_mean_selfish_ratio,5,0.000600643723693986,0.0004231280851222598,4.951720722951025e-05,0.0010918544194107455,0.000600643723693986,5,0,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_behavior_guiding,5,0.35073830155979197,0.01664252242891971,0.32940331765288433,0.3681010151027482,0.35073830155979197,5,0,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_corrective,5,-2.591817776677395,1.3388659540336578,-4.688779400841796,-1.1010794751176007,2.591817776677395,0,5,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_misinformation,5,-0.0024184204010893494,0.011307315855481382,-0.021839564248575805,0.005389948006931711,0.007269126021292394,3,2,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_observational,5,-0.009654146469021917,0.0494815751080475,-0.05823898804834682,0.0650312677203716,0.040594471388613516,2,3,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_effective_high,mean_total_shared_ratio_behavior_guiding,5,0.03047536518940332,0.0011671889553024504,0.029205248823966315,0.032371874226293645,0.03047536518940332,5,0,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_effective_high,mean_total_shared_ratio_corrective,5,-0.3642456053478584,0.20995898429692597,-0.6724733845011139,-0.10965337954939347,0.3642456053478584,0,5,0
